year,Infectado por 2 / nunca contraiu 1,Infectado por 2 / imune a 1 porque contraiu 1,Imune a 2 por ter contraído 2,Infectado por 1 / nunca contraiu 2,Imune a 1 por ter se vacinado contra 1,Suscetível as doenças,Imune a 1 por ter contraído 1,Imune as duas doenças,Infectado por 1 / imune a 2 porque contraiu 2,Infectado por 2 / imune a 1 por ter sido vacinado contra 1
1,0.01,0.0,0.0,0.01,0.0,0.98,0.0,0.0,0.0,0.0
2,0.00995,0.0,0.0051,0.011825,0.0,0.9677,0.005425,0.0,0.0,0.0
3,0.0076,0.001625,0.0076,0.01195,0.0,0.95975,0.009225,0.0,0.00225,0.0
4,0.0072,0.0025,0.008075,0.0128,0.0,0.951475,0.012375,0.002075,0.0035,0.0
5,0.006875,0.003275,0.007775,0.0142,0.0,0.94395,0.01535,0.0041,0.003825,6.5E-4
6,0.00735,0.003475,0.00775,0.015325,0.0,0.93595,0.0186,0.006175,0.004025,0.00135
7,0.0077,0.0039,0.00855,0.015975,0.0,0.927875,0.021775,0.008325,0.0034,0.0025
8,0.00815,0.0047,0.0095,0.0162,0.0,0.92065,0.0239,0.009625,0.003575,0.0037
9,0.008725,0.005175,0.010625,0.01725,0.0,0.9126,0.026225,0.01135,0.003375,0.004675
10,0.009675,0.00625,0.011825,0.017875,0.0,0.903925,0.028775,0.011425,0.003625,0.006625
11,0.011025,0.006825,0.01295,0.018475,0.0,0.895425,0.03105,0.013375,0.00335,0.007525
12,0.01155,0.0067,0.0155,0.01865,0.0,0.88775,0.032425,0.0147,0.0031,0.009625
13,0.012325,0.00725,0.016625,0.020025,0.0,0.88,0.03355,0.015625,0.003675,0.010925
14,0.013625,0.007675,0.018225,0.020775,0.0,0.873375,0.0343,0.016925,0.003525,0.011575
15,0.015475,0.0081,0.021125,0.0205,0.0,0.864925,0.036225,0.0177,0.003175,0.012775
16,0.017175,0.0085,0.023775,0.021125,0.0,0.85635,0.037075,0.019,0.003375,0.013625
17,0.0176,0.008975,0.02715,0.02135,0.0,0.84865,0.037875,0.0194,0.004075,0.014925
18,0.018625,0.0099,0.030625,0.022425,0.0,0.8397,0.0382,0.021275,0.00425,0.015
19,0.018475,0.0098,0.0343,0.022575,0.0,0.831825,0.0392,0.0223,0.0047,0.016825
20,0.019675,0.00985,0.036375,0.0227,0.0,0.823975,0.040225,0.0234,0.0051,0.0187
21,0.021275,0.01045,0.03865,0.024175,0.0,0.81545,0.0408,0.0258,0.0051,0.0183
22,0.023875,0.009875,0.0424,0.024175,0.0,0.805925,0.042525,0.027125,0.004925,0.019175
23,0.023025,0.01005,0.0464,0.023475,0.0,0.798925,0.043725,0.02845,0.005425,0.020525
24,0.023575,0.0109,0.050175,0.024275,0.0,0.790975,0.0433,0.0292,0.005925,0.021675
25,0.02405,0.0119,0.053925,0.024575,0.0,0.783425,0.0428,0.03,0.0062,0.023125
26,0.025125,0.0113,0.0571,0.024275,0.0,0.7773,0.0438,0.031575,0.005875,0.02365
27,0.0269,0.010975,0.0593,0.025175,0.0,0.76985,0.0437,0.03475,0.006675,0.022675
28,0.027275,0.01035,0.061775,0.0249,0.0,0.76375,0.045425,0.035225,0.00705,0.02425
29,0.029075,0.010175,0.065175,0.0259,0.0,0.75565,0.0466,0.036875,0.00645,0.0241
30,0.029525,0.0106,0.069275,0.025625,0.0,0.74785,0.04845,0.036375,0.006525,0.025775
31,0.0307,0.010625,0.0722,0.026375,0.0,0.739675,0.04965,0.03715,0.00715,0.026475
32,0.0311,0.011375,0.07495,0.02715,0.0,0.732825,0.050175,0.0377,0.008,0.026725
33,0.031775,0.0115,0.077675,0.027625,0.0,0.725525,0.051875,0.0384,0.008525,0.0271
